"Time","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frames_sent_total_camera","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","frames_sent_total_detector","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","people_box_count","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","detector_frame_latency","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","classifier_frames_processed_total","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","object_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","frame_classify_latency","group3-node2_cpu_0","group3-node1_cpu_0","group3-node2_cpu_1","group3-node1_cpu_1","group3-node2_cpu_2","group3-node1_cpu_2","group3-node2_cpu_3","group3-node1_cpu_3","group3-node2_cpu_4","group3-node1_cpu_4","group3-node2_cpu_5","group3-node1_cpu_5","group3-node2_cpu_6","group3-node1_cpu_6","group3-node2_cpu_7","group3-node1_cpu_7","group3-node2_available_memory","group3-node1_available_memory","group3-node2_free_memory","group3-node1_free_memory"
1758829680000,undefined,undefined,undefined,122.74977500055684,undefined,undefined,50027,undefined,undefined,50017,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,75.7746696472168,undefined,undefined,undefined,undefined,undefined,undefined,48738,undefined,undefined,undefined,undefined,undefined,18.49182300065877,undefined,undefined,undefined,undefined,undefined,122.74977500055684,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829710000,undefined,undefined,undefined,131.46508499630727,undefined,undefined,50117,undefined,undefined,50107,undefined,undefined,undefined,undefined,undefined,6,undefined,undefined,undefined,undefined,undefined,81.94565773010254,undefined,undefined,undefined,undefined,undefined,undefined,48825,undefined,undefined,undefined,undefined,undefined,19.0644260001136,undefined,undefined,undefined,undefined,undefined,131.46508499630727,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829740000,undefined,undefined,undefined,138.9438530022744,undefined,undefined,50207,undefined,undefined,50197,undefined,undefined,undefined,undefined,undefined,6,undefined,undefined,undefined,undefined,undefined,74.49221611022949,undefined,undefined,undefined,undefined,undefined,undefined,48915,undefined,undefined,undefined,undefined,undefined,17.842767003457993,undefined,undefined,undefined,undefined,undefined,138.9438530022744,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829770000,undefined,undefined,undefined,143.58500700473087,undefined,undefined,50297,undefined,undefined,50287,undefined,undefined,undefined,undefined,undefined,7,undefined,undefined,undefined,undefined,undefined,78.3381462097168,undefined,undefined,undefined,undefined,undefined,undefined,49005,undefined,undefined,undefined,undefined,undefined,19.440452997514512,undefined,undefined,undefined,undefined,undefined,143.58500700473087,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829800000,undefined,undefined,undefined,31.04764399904525,undefined,undefined,50387,undefined,undefined,50377,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined,77.49223709106445,undefined,undefined,undefined,undefined,undefined,undefined,49096,undefined,undefined,undefined,undefined,undefined,25.7225980021758,undefined,undefined,undefined,undefined,undefined,31.04764399904525,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829830000,undefined,undefined,undefined,66.88557799498085,undefined,undefined,50477,undefined,undefined,50467,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined,75.43373107910156,undefined,undefined,undefined,undefined,undefined,undefined,49185,undefined,undefined,undefined,undefined,undefined,19.68345799832605,undefined,undefined,undefined,undefined,undefined,66.88557799498085,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829860000,undefined,undefined,undefined,110.64603699924191,undefined,undefined,50567,undefined,undefined,50557,undefined,undefined,undefined,undefined,undefined,5,undefined,undefined,undefined,undefined,undefined,84.81383323669434,undefined,undefined,undefined,undefined,undefined,undefined,49275,undefined,undefined,undefined,undefined,undefined,18.49562999996124,undefined,undefined,undefined,undefined,undefined,110.64603699924191,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829890000,undefined,undefined,undefined,30.365777005499694,undefined,undefined,50657,undefined,undefined,50647,undefined,undefined,undefined,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,83.8465690612793,undefined,undefined,undefined,undefined,undefined,undefined,49360,undefined,undefined,undefined,undefined,undefined,25.617649000196252,undefined,undefined,undefined,undefined,undefined,30.365777005499694,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829920000,undefined,undefined,undefined,26.321038996684365,undefined,undefined,50747,undefined,undefined,50737,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined,88.00220489501953,undefined,undefined,undefined,undefined,undefined,undefined,49442,undefined,undefined,undefined,undefined,undefined,22.586327999306377,undefined,undefined,undefined,undefined,undefined,26.321038996684365,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1758829950000,undefined,undefined,undefined,63.1101539984229,undefined,undefined,50837,undefined,undefined,50827,undefined,undefined,undefined,undefined,undefined,3,undefined,undefined,undefined,undefined,undefined,83.29176902770996,undefined,undefined,undefined,undefined,undefined,undefined,49527,undefined,undefined,undefined,undefined,undefined,22.51900699775433,undefined,undefined,undefined,undefined,undefined,63.1101539984229,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
